transaction_amount,device_type,browser,payment_method,country,num_items,time_on_site_sec,is_first_purchase,referral,hour_of_day,account_age_days,Fraud
158.95,Desktop,Firefox,Card,Other,7,18.0,Yes,Social,13,898,0
106.44,Tablet,Safari,Card,US,6,120.0,No,Direct,6,93,0
138.94,Desktop,Chrome,Card,IN,4,201.0,Yes,Direct,0,1279,0
105.86,Desktop,Chrome,Card,DE,6,92.0,Yes,Search,21,1483,0
64.06,Mobile,Chrome,Card,DE,1,18.0,No,Direct,4,952,0
205.89,Mobile,Safari,PayPal,CN,6,405.0,No,Direct,18,1624,0
33.8,Mobile,Safari,Card,IN,5,315.0,No,Search,11,164,0
68.16,Desktop,Chrome,Card,IN,4,130.0,No,Direct,2,629,0
20.71,Desktop,Safari,Card,Other,3,74.0,Yes,Ads,23,756,0
43.67,Desktop,Chrome,Card,IN,2,147.0,No,Direct,9,1177,0
638.29,Desktop,Chrome,PayPal,BR,2,113.0,No,Search,11,1095,1
-7.07,Desktop,Firefox,Card,US,2,368.0,Yes,Social,5,1034,0
-1.91,Desktop,Safari,Card,FR,2,170.0,No,Search,18,424,0
26.65,Mobile,Edge,Card,US,3,72.0,No,Direct,21,57,0
52.25,Mobile,Chrome,PayPal,US,2,188.0,Yes,Direct,9,1020,0
113.02,Mobile,Safari,Card,UK,3,99.0,No,Ads,6,1277,0
155.08,Mobile,Chrome,Card,US,2,75.0,No,Direct,13,930,0
14.34,Desktop,Chrome,PayPal,US,5,128.0,No,Search,1,388,0
171.37,Mobile,Safari,PayPal,Other,7,43.0,Yes,Direct,10,61,1
187.05,Desktop,Safari,Card,UK,6,135.0,Yes,Direct,9,182,0
26.69,Mobile,Chrome,Card,Other,2,112.0,No,Search,22,635,0
10.69,Desktop,Chrome,BankTransfer,US,6,188.0,No,Search,18,37,0
-1.7699999999999996,Mobile,Chrome,Card,Other,4,282.0,Yes,Direct,15,1182,0
144.2,Mobile,Firefox,PayPal,US,6,219.0,Yes,Direct,7,405,0
31.700000000000003,Mobile,Chrome,PayPal,BR,3,289.0,Yes,Search,20,864,0
12.94,Mobile,Chrome,BankTransfer,US,2,94.0,No,Ads,18,459,0
10.91,Desktop,Other,Card,US,5,210.0,No,Social,15,1054,0
335.85,Mobile,Safari,Card,US,2,112.0,No,Search,7,1582,0
442.09,Desktop,Chrome,Card,BR,2,126.0,Yes,Direct,23,1381,0
28.520000000000003,Desktop,Safari,PayPal,US,4,49.0,No,Ads,5,142,0
126.07,Desktop,Safari,PayPal,IN,3,18.0,Yes,Social,10,1809,0
40.79,Mobile,Chrome,Card,US,5,134.0,Yes,Search,8,1285,0
15.68,Mobile,Safari,Card,BR,1,147.0,No,Ads,3,856,0
23.22,Mobile,Chrome,Card,BR,2,345.0,No,Direct,14,571,0
32.87,Tablet,Chrome,COD,Other,5,15.0,No,Search,9,1246,0
45.92,Tablet,Chrome,PayPal,US,2,98.0,Yes,Direct,3,1289,0
95.81,Mobile,Chrome,Card,US,2,76.0,No,Social,11,993,0
27.9,Desktop,Chrome,Card,DE,2,150.0,Yes,Search,10,79,0
111.28,Mobile,Chrome,Card,BR,7,110.0,Yes,Social,16,84,0
98.37,Mobile,Chrome,Card,BR,1,14.0,No,Search,14,1239,0
20.34,Mobile,Chrome,PayPal,BR,2,98.0,Yes,Search,6,724,0
111.61,Mobile,Chrome,Card,DE,5,63.0,Yes,Search,19,1368,0
206.36,Desktop,Firefox,BankTransfer,CN,3,301.0,No,Ads,21,1011,0
87.14,Mobile,Chrome,Card,US,1,67.0,Yes,Direct,11,1540,0
106.07,Desktop,Safari,PayPal,CN,2,389.0,No,Social,16,944,0
109.43,Mobile,Edge,Card,IN,5,97.0,No,Search,21,1648,0
32.8,Tablet,Other,Card,US,7,149.0,Yes,Search,17,10,0
49.2,Mobile,Chrome,Card,Other,4,95.0,Yes,Search,2,969,0
67.25,Mobile,Safari,BankTransfer,US,6,217.0,No,Direct,1,1755,0
119.58,Desktop,Edge,Card,CN,5,227.0,No,Search,3,1229,0
-1.6199999999999992,Desktop,Safari,PayPal,UK,5,120.0,No,Direct,4,696,0
21.74,Desktop,Edge,PayPal,CN,1,82.0,Yes,Direct,1,22,0
132.63,Mobile,Chrome,Card,DE,6,390.0,Yes,Social,13,1442,0
-1.7699999999999996,Mobile,Chrome,PayPal,US,6,118.0,No,Search,0,1151,0
136.49,Desktop,Safari,PayPal,FR,3,68.0,No,Search,23,833,0
13.81,Desktop,Chrome,Card,Other,7,405.0,No,Search,8,188,0
250.07,Mobile,Other,Card,UK,5,337.0,No,Direct,7,773,0
11.989999999999998,Mobile,Edge,PayPal,US,1,286.0,Yes,Direct,15,1194,0
40.58,Desktop,Chrome,Card,US,2,217.0,Yes,Search,20,1559,0
1.9700000000000009,Desktop,Chrome,PayPal,US,4,119.0,Yes,Direct,0,720,0
100.89,Desktop,Edge,Card,UK,2,41.0,No,Search,11,1234,0
85.97,Mobile,Chrome,Card,US,3,361.0,No,Direct,0,159,0
5.93,Desktop,Safari,PayPal,Other,1,290.0,No,Search,12,1743,0
119.39,Desktop,Firefox,PayPal,DE,7,220.0,No,Direct,6,811,0
599.45,Desktop,Safari,Card,US,1,169.0,No,Search,5,1443,1
13.44,Mobile,Safari,PayPal,UK,7,136.0,No,Direct,18,124,0
72.3,Mobile,Firefox,PayPal,UK,1,56.0,No,Search,21,328,0
102.62,Mobile,Chrome,BankTransfer,BR,3,339.0,No,Direct,7,589,0
191.22,Desktop,Safari,Card,US,7,235.0,Yes,Search,10,1042,0
37.34,Desktop,Chrome,Card,US,7,133.0,No,Direct,10,1041,0
212.92,Desktop,Edge,PayPal,Other,2,239.0,Yes,Search,2,273,0
6.920000000000002,Mobile,Edge,Card,BR,1,504.0,No,Social,3,1496,0
70.03,Mobile,Chrome,Card,US,4,63.0,No,Search,6,619,0
159.18,Tablet,Chrome,Card,UK,6,56.0,No,Direct,0,184,0
10.9,Tablet,Safari,Card,FR,1,87.0,Yes,Search,13,116,0
54.78,Desktop,Chrome,PayPal,US,4,88.0,Yes,Search,8,1251,0
94.45,Mobile,Chrome,COD,BR,3,83.0,No,Direct,13,1495,0
10.46,Mobile,Edge,COD,US,6,443.0,No,Search,23,1790,0
22.4,Mobile,Safari,Card,BR,7,309.0,No,Direct,22,1323,0
8.7,Mobile,Other,Card,Other,6,97.0,Yes,Search,13,288,0
12.61,Tablet,Chrome,PayPal,BR,1,106.0,Yes,Direct,3,73,0
86.79,Mobile,Chrome,Card,DE,1,68.0,Yes,Search,6,1201,0
6.120000000000001,Mobile,Chrome,Card,US,3,101.0,Yes,Search,8,406,0
16.33,Desktop,Chrome,Card,DE,1,89.0,No,Search,23,729,0
68.99,Mobile,Chrome,PayPal,BR,7,145.0,No,Search,14,375,0
145.06,Desktop,Firefox,PayPal,US,3,148.0,No,Search,13,1392,0
11.3,Mobile,Other,PayPal,UK,6,40.0,No,Search,15,1165,0
13.489999999999998,Desktop,Edge,Card,FR,6,90.0,Yes,Search,22,1063,0
19.92,Mobile,Safari,PayPal,Other,5,338.0,Yes,Search,18,865,0
52.05,Desktop,Chrome,PayPal,UK,2,95.0,No,Ads,23,364,0
48.2,Desktop,Chrome,PayPal,DE,3,96.0,No,Direct,20,914,0
-0.3000000000000007,Desktop,Chrome,Card,BR,7,264.0,No,Ads,1,1796,0
-1.9399999999999995,Desktop,Chrome,PayPal,IN,3,105.0,No,Search,14,1326,0
22.96,Desktop,Chrome,BankTransfer,CN,5,100.0,No,Search,3,713,0
64.82,Desktop,Firefox,PayPal,IN,6,173.0,No,Social,20,1061,0
14.739999999999998,Desktop,Firefox,COD,BR,4,302.0,No,Direct,14,811,0
41.49,Desktop,Safari,PayPal,DE,4,82.0,No,Direct,20,1688,0
767.95,Desktop,Edge,Card,US,4,260.0,Yes,Direct,11,1652,0
14.85,Mobile,Firefox,Card,FR,3,103.0,No,Search,23,39,0
29.200000000000003,Desktop,Safari,Card,DE,4,70.0,Yes,Social,8,1280,0
21.24,Tablet,Chrome,PayPal,US,4,120.0,Yes,Search,19,1278,0
4.140000000000001,Desktop,Chrome,Card,US,6,85.0,No,Direct,10,1097,0
83.43,Mobile,Safari,COD,FR,7,142.0,No,Search,21,297,0
3.33,Tablet,Chrome,PayPal,US,7,395.0,Yes,Direct,1,1143,0
93.7,Mobile,Chrome,PayPal,BR,6,66.0,Yes,Direct,6,1063,0
13.82,Tablet,Chrome,PayPal,US,2,380.0,No,Direct,7,677,0
24.83,Desktop,Chrome,BankTransfer,US,2,274.0,No,Ads,20,868,0
36.11,Desktop,Chrome,Card,US,5,140.0,Yes,Direct,17,152,0
53.57,Desktop,Safari,PayPal,US,7,124.0,No,Ads,5,984,0
36.21,Mobile,Firefox,Card,US,5,244.0,No,Search,23,87,0
40.98,Mobile,Chrome,Card,US,1,143.0,Yes,Direct,8,189,0
41.36,Desktop,Chrome,Card,US,6,77.0,Yes,Ads,10,107,0
47.84,Desktop,Chrome,Card,IN,3,38.0,No,Direct,6,1359,0
12.59,Desktop,Edge,BankTransfer,IN,4,75.0,No,Search,8,428,0
152.34,Mobile,Chrome,PayPal,IN,7,71.0,No,Social,23,582,0
31.37,Desktop,Safari,Card,US,5,160.0,No,Direct,13,497,0
77.18,Desktop,Safari,PayPal,US,3,209.0,Yes,Ads,7,613,0
139.84,Mobile,Chrome,Card,US,1,209.0,No,Direct,6,1717,0
46.86,Mobile,Safari,Card,CN,1,420.0,No,Search,12,1805,0
27.06,Desktop,Chrome,Card,US,5,137.0,No,Direct,17,336,0
47.46,Mobile,Chrome,Card,UK,4,137.0,No,Search,3,1658,0
152.01,Desktop,Chrome,Card,US,2,115.0,No,Search,16,136,0
63.77,Mobile,Firefox,Card,BR,4,432.0,No,Search,13,1347,0
103.46,Mobile,Chrome,Card,BR,3,90.0,No,Search,23,786,0
19.4,Desktop,Firefox,Card,US,1,200.0,No,Search,2,143,0
57.790000000000006,Desktop,Chrome,COD,IN,7,48.0,Yes,Search,5,585,0
201.93,Desktop,Chrome,Card,Other,7,138.0,No,Search,23,616,0
74.85,Mobile,Chrome,Card,US,6,31.0,No,Direct,16,1108,0
84.35,Desktop,Edge,Card,US,6,71.0,No,Direct,20,1658,0
27.5,Desktop,Safari,PayPal,DE,1,257.0,No,Direct,17,1470,0
6.649999999999999,Mobile,Firefox,PayPal,US,2,56.0,No,Search,10,1017,0
62.31999999999999,Mobile,Firefox,Card,BR,3,152.0,No,Search,13,1361,0
26.53,Desktop,Firefox,PayPal,CN,1,63.0,Yes,Social,13,83,0
48.83,Desktop,Edge,BankTransfer,BR,2,98.0,Yes,Social,19,190,0
9.78,Desktop,Chrome,Card,BR,4,174.0,Yes,Social,0,176,0
12.48,Desktop,Chrome,Card,Other,5,64.0,Yes,Search,20,493,0
22.86,Mobile,Chrome,PayPal,IN,3,55.0,No,Search,2,1450,0
23.17,Desktop,Chrome,Card,IN,2,444.0,No,Ads,15,1699,0
481.41,Mobile,Edge,PayPal,US,2,6.0,Yes,Social,18,1070,1
169.11,Desktop,Chrome,Card,UK,1,192.0,Yes,Search,4,1690,0
41.94,Tablet,Chrome,Card,BR,2,90.0,No,Search,16,197,0
100.68,Mobile,Firefox,PayPal,CN,1,157.0,Yes,Search,17,1753,0
180.82,Mobile,Other,Card,Other,3,75.0,No,Ads,2,934,0
-1.4299999999999995,Desktop,Edge,BankTransfer,US,6,147.0,Yes,Search,6,595,0
157.27,Mobile,Chrome,Card,FR,2,231.0,Yes,Direct,16,1442,0
359.1,Mobile,Firefox,Card,Other,1,133.0,No,Direct,2,20,0
233.87,Mobile,Chrome,Card,US,1,152.0,No,Search,0,805,0
10.93,Desktop,Chrome,Card,IN,7,257.0,No,Direct,6,1258,0
496.43,Mobile,Firefox,PayPal,FR,7,117.0,No,Search,22,633,1
45.12,Mobile,Firefox,Card,UK,4,286.0,Yes,Search,12,1369,0
189.53,Mobile,Safari,Card,CN,1,314.0,No,Direct,22,710,0
10.54,Mobile,Chrome,Card,US,2,134.0,Yes,Ads,9,959,0
21.76,Desktop,Chrome,Card,US,6,114.0,Yes,Direct,21,438,0
45.94,Mobile,Safari,Card,DE,2,36.0,Yes,Search,15,977,0
9.0,Mobile,Chrome,Card,UK,2,300.0,Yes,Direct,20,1553,0
1.17,Tablet,Edge,Card,US,7,280.0,No,Search,15,1343,0
313.53,Tablet,Chrome,Card,US,3,62.0,Yes,Search,19,1807,0
2.34,Desktop,Firefox,PayPal,Other,5,258.0,Yes,Search,7,1163,0
212.92,Desktop,Safari,PayPal,Other,7,61.0,No,Search,20,1099,0
36.74,Mobile,Chrome,Card,BR,1,160.0,Yes,Search,11,1547,0
60.56,Mobile,Firefox,PayPal,UK,4,101.0,No,Ads,7,767,0
5.949999999999999,Mobile,Chrome,Card,IN,4,78.0,Yes,Direct,3,1379,0
66.36,Mobile,Chrome,COD,US,4,49.0,No,Direct,23,1008,0
143.92,Mobile,Edge,Card,FR,3,246.0,No,Social,14,1412,0
27.81,Mobile,Safari,BankTransfer,FR,3,39.0,Yes,Direct,4,1084,0
6.109999999999999,Desktop,Safari,Card,CN,4,61.0,No,Social,1,225,0
18.08,Mobile,Chrome,Card,BR,1,111.0,No,Search,13,1617,0
43.55,Tablet,Chrome,BankTransfer,UK,7,57.0,Yes,Search,18,138,0
21.88,Mobile,Safari,Card,UK,1,264.0,Yes,Direct,13,643,0
30.97,Desktop,Other,Card,CN,6,348.0,Yes,Search,19,1248,0
134.86,Mobile,Safari,Card,IN,1,235.0,No,Social,2,595,0
8.899999999999999,Mobile,Other,PayPal,BR,4,295.0,Yes,Search,1,393,0
569.44,Desktop,Firefox,PayPal,US,6,73.0,Yes,Social,19,1252,0
24.03,Desktop,Firefox,BankTransfer,IN,5,88.0,Yes,Direct,13,817,0
25.21,Mobile,Chrome,PayPal,US,1,159.0,No,Search,0,1154,0
12.64,Desktop,Chrome,Card,UK,5,76.0,No,Search,15,238,0
19.81,Mobile,Safari,Card,FR,3,82.0,Yes,Direct,4,411,0
86.31,Desktop,Chrome,PayPal,IN,6,101.0,No,Search,21,28,0
10.79,Desktop,Edge,COD,BR,7,423.0,Yes,Search,0,1022,0
160.23,Desktop,Safari,Card,DE,7,306.0,No,Search,14,1192,0
20.16,Desktop,Chrome,PayPal,US,5,100.0,Yes,Ads,23,117,0
10.47,Mobile,Chrome,Card,US,6,176.0,No,Search,4,573,0
72.07,Desktop,Firefox,PayPal,IN,6,111.0,No,Direct,19,1743,0
61.42,Mobile,Firefox,PayPal,BR,7,189.0,Yes,Social,16,604,1
121.91,Mobile,Chrome,Card,BR,4,35.0,No,Social,17,1514,0
74.25,Desktop,Firefox,Card,Other,5,150.0,No,Search,5,115,0
8.559999999999999,Desktop,Chrome,Card,IN,7,193.0,Yes,Direct,3,407,0
162.24,Tablet,Chrome,Card,CN,5,301.0,No,Direct,18,1745,1
28.5,Desktop,Firefox,PayPal,IN,5,57.0,No,Search,20,750,0
17.48,Mobile,Chrome,Card,US,7,272.0,Yes,Search,0,1018,0
8.75,Mobile,Edge,Card,US,7,95.0,No,Search,11,1452,0
21.75,Desktop,Chrome,Card,CN,7,213.0,No,Social,6,853,0
25.71,Desktop,Safari,PayPal,US,7,151.0,Yes,Direct,12,1224,0
147.51,Mobile,Chrome,PayPal,US,5,274.0,No,Direct,21,1116,0
8.2,Mobile,Edge,PayPal,BR,3,213.0,No,Search,4,1706,0
13.81,Mobile,Chrome,BankTransfer,CN,5,122.0,No,Search,19,273,0
-0.2300000000000004,Desktop,Chrome,PayPal,DE,5,511.0,No,Search,6,916,0
71.16,Mobile,Safari,PayPal,FR,1,200.0,No,Direct,3,584,0
25.590000000000003,Tablet,Chrome,Card,BR,6,104.0,No,Search,18,30,0
70.01,Desktop,Safari,PayPal,US,6,21.0,No,Search,4,304,0
47.7,Mobile,Chrome,PayPal,UK,1,260.0,Yes,Search,4,724,0
27.090000000000003,Mobile,Edge,Card,BR,6,107.0,No,Search,11,977,0
45.98,Desktop,Chrome,Card,UK,7,373.0,No,Search,22,786,0
82.36,Mobile,Firefox,BankTransfer,CN,1,325.0,No,Search,16,1731,0
42.64,Mobile,Chrome,COD,CN,6,95.0,No,Search,12,177,0
28.08,Desktop,Edge,Card,Other,3,85.0,No,Social,6,549,0
15.09,Mobile,Edge,Card,FR,3,159.0,No,Search,16,24,0
185.6,Tablet,Chrome,COD,Other,1,437.0,No,Direct,5,450,0
35.91,Desktop,Chrome,BankTransfer,US,1,208.0,Yes,Search,5,120,0
64.62,Mobile,Chrome,BankTransfer,UK,4,86.0,No,Direct,4,1529,0
7.260000000000002,Mobile,Chrome,Card,US,4,146.0,Yes,Ads,23,1332,0
165.23,Mobile,Chrome,PayPal,US,1,183.0,No,Social,9,284,0
1200.74,Tablet,Chrome,PayPal,DE,4,51.0,No,Direct,7,777,1
48.31,Mobile,Chrome,COD,CN,1,283.0,No,Search,12,643,0
6.530000000000001,Desktop,Firefox,Card,CN,4,428.0,No,Search,16,551,0
66.47,Mobile,Chrome,Card,DE,1,163.0,Yes,Direct,16,366,1
9.39,Desktop,Edge,Card,FR,2,164.0,Yes,Social,6,843,0
112.52,Mobile,Safari,Card,IN,2,57.0,No,Social,8,564,0
56.19,Mobile,Chrome,Card,Other,1,128.0,Yes,Social,16,203,0
128.43,Desktop,Chrome,PayPal,BR,2,182.0,No,Search,16,42,1
69.32,Desktop,Chrome,Card,UK,4,184.0,No,Direct,19,1713,0
336.36,Desktop,Safari,Card,IN,7,153.0,No,Search,16,1456,0
7.16,Desktop,Edge,PayPal,Other,1,163.0,Yes,Ads,0,888,0
49.370000000000005,Mobile,Safari,Card,US,1,169.0,No,Ads,8,95,1
-2.16,Desktop,Safari,Card,US,3,36.0,Yes,Direct,12,1528,0
84.75,Desktop,Other,Card,BR,6,172.0,No,Search,12,591,0
177.6,Mobile,Chrome,COD,IN,6,139.0,No,Search,16,1592,0
61.68000000000001,Mobile,Safari,PayPal,US,3,130.0,Yes,Search,12,941,0
161.73,Desktop,Edge,Card,UK,6,54.0,No,Social,10,1102,0
6.039999999999999,Mobile,Firefox,Card,IN,6,171.0,No,Search,16,43,0
13.37,Desktop,Firefox,Card,US,4,108.0,No,Social,9,7,0
271.12,Desktop,Chrome,Card,IN,1,273.0,No,Search,18,971,0
22.86,Desktop,Safari,Card,Other,7,162.0,Yes,Social,14,25,0
96.55,Mobile,Firefox,Card,US,7,87.0,Yes,Ads,1,376,0
12.63,Desktop,Edge,Card,UK,7,271.0,No,Social,19,772,0
26.33,Mobile,Firefox,Card,IN,5,45.0,No,Search,12,1362,0
84.58,Desktop,Chrome,Card,BR,2,169.0,Yes,Direct,13,469,0
22.87,Desktop,Firefox,Card,Other,4,239.0,Yes,Direct,19,997,0
207.88,Mobile,Safari,Card,UK,4,217.0,Yes,Search,1,1429,0
152.66,Mobile,Chrome,PayPal,US,5,181.0,No,Social,8,114,0
33.92,Mobile,Edge,Card,IN,2,189.0,No,Ads,7,1008,0
204.17,Mobile,Chrome,Card,US,1,81.0,Yes,Direct,22,1516,0
35.96,Desktop,Chrome,PayPal,IN,6,212.0,No,Search,21,1605,0
25.25,Mobile,Safari,PayPal,US,7,90.0,No,Social,10,173,0
23.43,Mobile,Firefox,BankTransfer,FR,1,146.0,No,Search,15,1339,0
226.0,Desktop,Chrome,PayPal,UK,6,217.0,No,Social,12,908,0
190.19,Mobile,Chrome,Card,US,6,238.0,No,Search,21,966,0
62.150000000000006,Tablet,Chrome,BankTransfer,DE,6,172.0,Yes,Search,16,1181,0
90.07,Tablet,Chrome,PayPal,Other,5,41.0,Yes,Search,10,1304,0
21.06,Mobile,Chrome,Card,US,2,196.0,Yes,Direct,5,342,0
108.46,Desktop,Safari,Card,UK,4,324.0,Yes,Search,16,1668,0
2.51,Desktop,Safari,Card,Other,3,112.0,Yes,Direct,18,1438,0
23.0,Desktop,Chrome,PayPal,UK,7,254.0,Yes,Search,22,63,0
82.18,Desktop,Chrome,PayPal,DE,4,76.0,Yes,Direct,15,1359,0
86.7,Tablet,Firefox,Card,US,3,262.0,Yes,Social,2,957,0
24.24,Tablet,Chrome,Card,US,2,252.0,Yes,Direct,7,229,0
5.279999999999999,Desktop,Firefox,PayPal,Other,5,203.0,No,Search,11,1263,0
61.95,Desktop,Safari,Card,US,5,213.0,No,Direct,13,913,0
71.93,Mobile,Chrome,COD,FR,7,166.0,No,Search,3,387,1
4.52,Mobile,Edge,PayPal,BR,2,175.0,No,Direct,0,1566,0
272.1,Desktop,Chrome,Card,DE,1,201.0,Yes,Social,4,363,0
21.56,Desktop,Chrome,PayPal,Other,2,57.0,No,Direct,14,210,0
27.75,Desktop,Firefox,PayPal,US,3,127.0,No,Search,15,647,0
67.42,Mobile,Firefox,Card,Other,3,276.0,Yes,Search,8,99,0
11.02,Tablet,Firefox,Card,US,2,59.0,No,Search,18,1808,0
17.94,Mobile,Safari,BankTransfer,US,5,353.0,No,Direct,7,1379,0
16.54,Mobile,Chrome,PayPal,FR,6,148.0,Yes,Search,14,1702,0
303.25,Tablet,Chrome,Card,CN,1,126.0,Yes,Social,11,733,0
168.38,Mobile,Chrome,PayPal,FR,3,59.0,Yes,Social,2,1307,0
16.46,Desktop,Edge,PayPal,DE,1,178.0,No,Social,6,99,0
78.17,Mobile,Safari,Card,FR,3,115.0,Yes,Ads,23,1067,0
76.73,Desktop,Firefox,Card,DE,5,170.0,No,Search,5,1549,0
54.13,Mobile,Chrome,PayPal,DE,4,90.0,Yes,Search,2,73,0
166.85,Tablet,Safari,Card,US,6,98.0,No,Social,20,994,0
79.56,Desktop,Safari,Card,BR,3,56.0,Yes,Direct,0,1493,0
115.76,Desktop,Firefox,PayPal,CN,4,96.0,Yes,Social,17,1760,0
7.989999999999998,Desktop,Safari,Card,CN,7,210.0,No,Search,5,424,0
28.4,Mobile,Chrome,Card,DE,3,187.0,Yes,Search,23,251,0
114.24,Tablet,Firefox,COD,UK,2,259.0,Yes,Search,8,264,0
113.04,Desktop,Other,Card,Other,7,340.0,No,Social,20,1679,0
6.52,Desktop,Firefox,PayPal,UK,1,163.0,No,Social,20,841,0
84.83,Desktop,Chrome,BankTransfer,DE,5,125.0,No,Ads,5,64,0
318.61,Desktop,Chrome,PayPal,CN,7,69.0,No,Search,6,871,0
34.1,Desktop,Edge,Card,IN,5,312.0,Yes,Search,11,72,0
20.22,Desktop,Edge,PayPal,CN,2,259.0,Yes,Direct,0,19,0
194.05,Mobile,Chrome,Card,BR,5,72.0,No,Search,21,1634,0
100.14,Desktop,Safari,Card,FR,2,177.0,No,Direct,2,1417,0
85.5,Mobile,Chrome,Card,IN,6,86.0,No,Ads,22,338,0
563.21,Mobile,Firefox,Card,UK,6,62.0,Yes,Direct,5,897,0
64.49,Desktop,Chrome,COD,Other,5,53.0,Yes,Social,4,1442,0
107.49,Desktop,Firefox,Card,DE,1,168.0,Yes,Search,10,1226,0
8.04,Desktop,Chrome,Card,UK,3,319.0,Yes,Direct,4,1749,0
128.02,Mobile,Safari,Card,US,2,250.0,No,Social,11,352,0
12.239999999999998,Mobile,Firefox,PayPal,IN,4,41.0,Yes,Search,10,736,0
285.67,Desktop,Chrome,PayPal,UK,5,324.0,No,Search,6,302,0
31.840000000000003,Mobile,Edge,PayPal,FR,6,24.0,No,Search,6,559,0
76.71,Desktop,Chrome,PayPal,IN,4,272.0,No,Ads,1,1739,0
102.88,Desktop,Other,Card,US,4,154.0,No,Search,20,579,0
9.010000000000002,Desktop,Chrome,COD,IN,2,19.0,No,Direct,8,404,0
116.46,Desktop,Chrome,Card,US,1,42.0,Yes,Direct,12,792,0
-3.62,Mobile,Firefox,PayPal,FR,3,22.0,Yes,Direct,14,1356,0
203.49,Desktop,Safari,Card,DE,2,168.0,No,Social,21,1750,0
96.0,Desktop,Chrome,Card,US,6,64.0,No,Search,12,350,0
17.38,Mobile,Firefox,PayPal,Other,4,181.0,No,Direct,14,945,0
18.99,Mobile,Edge,PayPal,DE,1,87.0,Yes,Direct,8,1340,0
58.36,Mobile,Chrome,Card,US,1,44.0,Yes,Search,5,1390,0
86.14,Desktop,Chrome,Card,IN,4,171.0,No,Search,3,459,0
33.44,Mobile,Chrome,Card,US,1,122.0,No,Social,16,1304,0
-0.1699999999999999,Mobile,Chrome,Card,CN,1,75.0,Yes,Search,17,178,0
11.21,Tablet,Edge,BankTransfer,US,2,19.0,No,Ads,2,649,0
38.95,Mobile,Chrome,Card,CN,3,67.0,No,Direct,18,175,0
35.96,Desktop,Safari,Card,US,7,44.0,Yes,Search,16,1395,0
15.32,Tablet,Safari,Card,IN,7,156.0,No,Search,18,1574,0
83.99,Desktop,Chrome,Card,FR,7,185.0,Yes,Search,0,480,0
39.73,Mobile,Firefox,PayPal,FR,1,322.0,Yes,Social,10,1259,0
33.36,Mobile,Chrome,Card,Other,4,43.0,No,Search,3,871,0
18.3,Tablet,Safari,Card,IN,4,139.0,No,Search,14,548,0
16.72,Mobile,Chrome,Card,FR,3,38.0,Yes,Search,14,1089,0
24.61,Desktop,Safari,PayPal,Other,6,106.0,Yes,Search,6,446,0
-5.25,Mobile,Chrome,PayPal,BR,4,43.0,No,Search,7,1753,0
-3.82,Desktop,Other,Card,BR,6,298.0,No,Search,11,269,0
10.93,Desktop,Chrome,Card,DE,7,154.0,No,Social,10,287,0
93.29,Desktop,Chrome,BankTransfer,IN,3,34.0,No,Search,20,1653,0
266.92,Mobile,Safari,Card,US,2,113.0,No,Direct,4,82,0
5.34,Desktop,Chrome,Card,IN,6,71.0,Yes,Direct,3,860,0
15.47,Desktop,Edge,Card,UK,7,114.0,Yes,Ads,21,71,0
115.13,Mobile,Firefox,PayPal,FR,6,339.0,No,Search,10,131,0
60.33,Mobile,Chrome,Card,FR,5,205.0,No,Direct,17,1030,0
19.29,Desktop,Chrome,Card,DE,1,93.0,No,Search,11,399,0
6.52,Mobile,Firefox,Card,UK,7,66.0,No,Direct,19,61,0
170.65,Mobile,Firefox,Card,Other,5,48.0,No,Search,4,1628,0
59.8,Desktop,Chrome,Card,FR,6,136.0,Yes,Direct,4,1613,0
11.079999999999998,Desktop,Chrome,Card,US,7,183.0,Yes,Search,10,956,0
22.35,Desktop,Other,Card,US,4,169.0,No,Search,8,1036,0
3.16,Desktop,Chrome,BankTransfer,FR,2,71.0,No,Ads,18,1128,0
166.75,Mobile,Chrome,Card,US,6,276.0,No,Direct,0,274,1
11.82,Mobile,Firefox,Card,US,5,59.0,Yes,Search,23,1067,0
-2.43,Mobile,Safari,Card,BR,3,52.0,Yes,Ads,5,521,0
289.5,Tablet,Safari,COD,FR,5,0.0,No,Search,8,237,1
180.09,Mobile,Chrome,PayPal,BR,5,92.0,Yes,Search,2,1004,0
1.4900000000000002,Mobile,Chrome,Card,US,3,29.0,No,Search,8,1152,0
80.56,Desktop,Chrome,PayPal,IN,6,16.0,No,Direct,21,243,0
13.34,Mobile,Edge,Card,US,6,413.0,No,Search,1,690,0
71.88,Desktop,Edge,Card,BR,6,163.0,Yes,Direct,18,483,0
-3.6,Desktop,Chrome,PayPal,DE,6,91.0,No,Direct,2,528,0
6.059999999999999,Desktop,Firefox,Card,DE,1,48.0,No,Search,20,467,0
85.34,Desktop,Chrome,PayPal,Other,5,45.0,No,Search,16,217,0
210.3,Mobile,Chrome,Card,US,5,120.0,Yes,Search,12,530,0
19.73,Mobile,Firefox,Card,US,4,164.0,No,Direct,9,1117,0
60.96,Mobile,Safari,COD,IN,5,201.0,No,Ads,12,1698,0
57.02,Desktop,Chrome,Card,CN,3,138.0,No,Search,20,923,0
21.61,Mobile,Safari,Card,US,5,277.0,No,Social,17,1182,0
0.4399999999999995,Mobile,Chrome,BankTransfer,DE,5,159.0,Yes,Search,2,1299,0
29.85,Mobile,Chrome,Card,US,5,179.0,Yes,Direct,6,1235,0
